Year,Inflation
1960-01-01,6.947368421052890
1961-01-01,1.640419947506090
1962-01-01,-0.516462233698500
1963-01-01,1.456488447974960
1964-01-01,4.179586881453190
1965-01-01,5.568635479363750
1966-01-01,7.227621597877350
1967-01-01,6.811399634286880
1968-01-01,0.170627348438101
1969-01-01,3.186986795736860
1970-01-01,5.349840909830170
1971-01-01,4.730691482322720
1972-01-01,5.183237645491380
1973-01-01,23.070084025084402
1974-01-01,26.663034853748801
1975-01-01,20.904509457399801
1976-01-01,7.158323731184650
1977-01-01,10.132967687405500
1978-01-01,6.138692667427430
1979-01-01,8.267046976175720
1980-01-01,11.938230910708700
1981-01-01,11.879913592528300
1982-01-01,5.903528784358630
1983-01-01,6.362033499853000
1984-01-01,6.087166735737160
1985-01-01,5.614839217932240
1986-01-01,3.506414247582050
1987-01-01,4.681218546202130
1988-01-01,8.837937018177730
1989-01-01,7.844264737400440
1990-01-01,9.052131552797761
1991-01-01,11.791270335141601
1992-01-01,9.509041461901500
1993-01-01,9.973664760292090
1994-01-01,12.368194393694800
1995-01-01,12.343578517051300
1996-01-01,10.373808588500200
1997-01-01,11.375492886512200
1998-01-01,6.228004154245430
1999-01-01,4.142637180821710
2000-01-01,4.366664512916810
2001-01-01,3.148261445906180
2002-01-01,3.290344726131530
2003-01-01,2.914134700594790
2004-01-01,7.444624693427390
2005-01-01,9.063327370304171
2006-01-01,7.921084400587890
2007-01-01,7.598684410507740
2008-01-01,20.286121092955401
2009-01-01,13.647765063976101
2010-01-01,12.938870563488900
2011-01-01,11.916092711627700
2012-01-01,9.682351860556841
2013-01-01,7.692156118995650
2014-01-01,7.189384028470280
2015-01-01,2.529328172542290
2016-01-01,3.765119163565800
2017-01-01,4.085373680326080
2018-01-01,5.078057258689170
2019-01-01,10.578361800455500
2020-01-01,9.739993138981550
2021-01-01,9.496210561249470
2022-01-01,19.873859964665499
2023-01-01,30.768128065700498
2024-01-01,12.632531853045201
